@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
60,456,2,144,97,0.59751,0.995633,0.76,0.995633,0.24,0.862004,0.858369,1.159913,0.023909
61,456,2,143,98,0.593361,0.995633,0.761269,0.995633,0.238731,0.862819,0.856938,1.161849,0.024267
62,456,2,141,100,0.585062,0.995633,0.763819,0.995633,0.236181,0.864455,0.854077,1.165741,0.025928
63,456,2,140,101,0.580913,0.995633,0.765101,0.995633,0.234899,0.865275,0.852647,1.167697,0.03
64,456,2,126,115,0.522822,0.995633,0.783505,0.995633,0.216495,0.876923,0.832618,1.195786,0.031394
65,456,2,125,116,0.518672,0.995633,0.784854,0.995633,0.215146,0.877767,0.831187,1.197844,0.031667
66,456,2,124,117,0.514523,0.995633,0.786207,0.995633,0.213793,0.878613,0.829757,1.19991,0.032503
67,456,2,123,118,0.510373,0.995633,0.787565,0.995633,0.212435,0.87946,0.828326,1.201982,0.033549
68,456,2,122,119,0.506224,0.995633,0.788927,0.995633,0.211073,0.880309,0.826896,1.204062,0.034418
69,456,2,121,120,0.502075,0.995633,0.790295,0.995633,0.209705,0.881159,0.825465,1.206148,0.036569
70,456,2,120,121,0.497925,0.995633,0.791667,0.995633,0.208333,0.882012,0.824034,1.208242,0.04
71,456,2,112,129,0.46473,0.995633,0.802817,0.995633,0.197183,0.888889,0.812589,1.22526,0.04
72,456,2,111,130,0.460581,0.995633,0.804233,0.995633,0.195767,0.889756,0.811159,1.227421,0.0425
73,456,2,110,131,0.456432,0.995633,0.805654,0.995633,0.194346,0.890625,0.809728,1.229589,0.042636
74,456,2,109,132,0.452282,0.995633,0.80708,0.995633,0.19292,0.891496,0.808298,1.231766,0.043113
75,455,3,109,132,0.452282,0.99345,0.806738,0.99345,0.193262,0.890411,0.806867,1.231244,0.043675
76,455,3,108,133,0.448133,0.99345,0.808171,0.99345,0.191829,0.891283,0.805436,1.233431,0.044714
77,455,3,107,134,0.443983,0.99345,0.809609,0.99345,0.190391,0.892157,0.804006,1.235625,0.046181
78,455,3,106,135,0.439834,0.99345,0.811052,0.99345,0.188948,0.893032,0.802575,1.237828,0.047368
79,455,3,105,136,0.435685,0.99345,0.8125,0.99345,0.1875,0.89391,0.801144,1.240038,0.05
80,455,3,100,141,0.414938,0.99345,0.81982,0.99345,0.18018,0.898322,0.793991,1.25121,0.05
81,455,3,99,142,0.410788,0.99345,0.8213,0.99345,0.1787,0.899209,0.792561,1.253468,0.05771
82,455,3,98,143,0.406639,0.99345,0.822785,0.99345,0.177215,0.900099,0.79113,1.255735,0.059532
83,455,3,97,144,0.40249,0.99345,0.824275,0.99345,0.175725,0.90099,0.7897,1.25801,0.06
84,455,3,92,149,0.381743,0.99345,0.83181,0.99345,0.16819,0.905473,0.782546,1.269509,0.066068
85,455,3,91,150,0.377593,0.99345,0.833333,0.99345,0.166667,0.906375,0.781116,1.271834,0.07
86,455,3,90,151,0.373444,0.99345,0.834862,0.99345,0.165138,0.907278,0.779685,1.274168,0.07
87,455,3,89,152,0.369295,0.99345,0.836397,0.99345,0.163603,0.908184,0.778255,1.27651,0.07
88,455,3,86,155,0.356846,0.99345,0.841035,0.99345,0.158965,0.910911,0.773963,1.283589,0.077789
89,455,3,85,156,0.352697,0.99345,0.842593,0.99345,0.157407,0.911824,0.772532,1.285966,0.08
90,455,3,84,157,0.348548,0.99345,0.844156,0.99345,0.155844,0.912738,0.771102,1.288351,0.08
91,455,3,81,160,0.3361,0.99345,0.848881,0.99345,0.151119,0.915493,0.76681,1.295562,0.082851
92,455,3,80,161,0.33195,0.99345,0.850467,0.99345,0.149533,0.916415,0.765379,1.297984,0.084714
93,455,3,79,162,0.327801,0.99345,0.85206,0.99345,0.14794,0.917339,0.763948,1.300415,0.09
94,455,3,76,165,0.315353,0.99345,0.856874,0.99345,0.143126,0.920121,0.759657,1.307762,0.09051
95,455,3,75,166,0.311203,0.99345,0.858491,0.99345,0.141509,0.921053,0.758226,1.310229,0.091755
96,455,3,74,167,0.307054,0.99345,0.860113,0.99345,0.139887,0.921986,0.756795,1.312706,0.092636
97,455,3,73,168,0.302905,0.99345,0.861742,0.99345,0.138258,0.922921,0.755365,1.315192,0.092757
98,455,3,72,169,0.298755,0.99345,0.863378,0.99345,0.136622,0.923858,0.753934,1.317688,0.093709
99,455,3,71,170,0.294606,0.99345,0.865019,0.99345,0.134981,0.924797,0.752504,1.320193,0.094583
100,455,3,70,171,0.290456,0.99345,0.866667,0.99345,0.133333,0.925738,0.751073,1.322707,0.1
101,454,4,66,175,0.273859,0.991266,0.873077,0.991266,0.126923,0.928425,0.74392,1.332491,0.1
102,453,5,66,175,0.273859,0.989083,0.872832,0.989083,0.127168,0.927329,0.742489,1.332118,0.100555
103,453,5,65,176,0.26971,0.989083,0.874517,0.989083,0.125483,0.928279,0.741059,1.334689,0.102933
104,453,5,64,177,0.26556,0.989083,0.876209,0.989083,0.123791,0.929231,0.739628,1.337271,0.10416
105,453,5,63,178,0.261411,0.989083,0.877907,0.989083,0.122093,0.930185,0.738197,1.339862,0.11
106,453,5,61,180,0.253112,0.989083,0.881323,0.989083,0.118677,0.932099,0.735336,1.345076,0.112723
107,452,6,61,180,0.253112,0.9869,0.881092,0.9869,0.118908,0.930999,0.733906,1.344723,0.117541
108,452,6,60,181,0.248963,0.9869,0.882813,0.9869,0.117188,0.931959,0.732475,1.347349,0.12
109,451,7,60,181,0.248963,0.984716,0.882583,0.984716,0.117417,0.930857,0.731044,1.346999,0.12
110,451,7,59,182,0.244813,0.984716,0.884314,0.984716,0.115686,0.931818,0.729614,1.34964,0.13
111,451,7,58,183,0.240664,0.984716,0.886051,0.984716,0.113949,0.932782,0.728183,1.352292,0.13
112,451,7,55,186,0.228216,0.984716,0.891304,0.984716,0.108696,0.935685,0.723891,1.360309,0.133675
113,451,7,54,187,0.224066,0.984716,0.893069,0.984716,0.106931,0.936656,0.722461,1.363003,0.135
114,451,7,53,188,0.219917,0.984716,0.894841,0.984716,0.105159,0.93763,0.72103,1.365708,0.13711
115,451,7,52,189,0.215768,0.984716,0.89662,0.984716,0.10338,0.938606,0.719599,1.368423,0.137368
116,451,7,51,190,0.211618,0.984716,0.898406,0.984716,0.101594,0.939583,0.718169,1.371149,0.14
117,451,7,50,191,0.207469,0.984716,0.9002,0.984716,0.0998,0.940563,0.716738,1.373885,0.14
118,451,7,48,193,0.19917,0.984716,0.903808,0.984716,0.096192,0.942529,0.713877,1.379392,0.143968
119,451,7,47,194,0.195021,0.984716,0.905622,0.984716,0.094378,0.943515,0.712446,1.382162,0.144714
120,451,7,46,195,0.190871,0.984716,0.907445,0.984716,0.092555,0.944503,0.711016,1.384943,0.148718
121,451,7,45,196,0.186722,0.984716,0.909274,0.984716,0.090726,0.945493,0.709585,1.387735,0.151279
122,450,8,45,196,0.186722,0.982533,0.909091,0.982533,0.090909,0.944386,0.708155,1.387455,0.16
123,450,8,44,197,0.182573,0.982533,0.910931,0.982533,0.089069,0.945378,0.706724,1.390264,0.160961
124,450,8,43,198,0.178423,0.982533,0.912779,0.982533,0.087221,0.946372,0.705293,1.393084,0.165205
125,450,8,42,199,0.174274,0.982533,0.914634,0.982533,0.085366,0.947368,0.703863,1.395915,0.167731
126,450,8,41,200,0.170124,0.982533,0.916497,0.982533,0.083503,0.948367,0.702432,1.398758,0.17
127,450,8,40,201,0.165975,0.982533,0.918367,0.982533,0.081633,0.949367,0.701001,1.401613,0.17
128,450,8,39,202,0.161826,0.982533,0.920245,0.982533,0.079755,0.95037,0.699571,1.404479,0.182812
129,450,8,38,203,0.157676,0.982533,0.922131,0.982533,0.077869,0.951374,0.69814,1.407357,0.186207
130,450,8,37,204,0.153527,0.982533,0.924025,0.982533,0.075975,0.952381,0.69671,1.410247,0.19
131,450,8,36,205,0.149378,0.982533,0.925926,0.982533,0.074074,0.95339,0.695279,1.413149,0.193083
132,450,8,35,206,0.145228,0.982533,0.927835,0.982533,0.072165,0.954401,0.693848,1.416063,0.2
133,450,8,34,207,0.141079,0.982533,0.929752,0.982533,0.070248,0.955414,0.692418,1.418988,0.20051
134,450,8,33,208,0.136929,0.982533,0.931677,0.982533,0.068323,0.956429,0.690987,1.421926,0.21
135,450,8,32,209,0.13278,0.982533,0.93361,0.982533,0.06639,0.957447,0.689557,1.424876,0.22
136,449,9,32,209,0.13278,0.980349,0.933472,0.980349,0.066528,0.956337,0.688126,1.424666,0.23
137,449,9,31,210,0.128631,0.980349,0.935417,0.980349,0.064583,0.957356,0.686695,1.427634,0.230319
138,449,9,30,211,0.124481,0.980349,0.93737,0.980349,0.06263,0.958378,0.685265,1.430614,0.235
139,449,9,29,212,0.120332,0.980349,0.939331,0.980349,0.060669,0.959402,0.683834,1.433607,0.242723
140,449,9,28,213,0.116183,0.980349,0.9413,0.980349,0.0587,0.960428,0.682403,1.436613,0.25
141,449,9,27,214,0.112033,0.980349,0.943277,0.980349,0.056723,0.961456,0.680973,1.439631,0.25619
142,449,9,26,215,0.107884,0.980349,0.945263,0.980349,0.054737,0.962487,0.679542,1.442661,0.26
143,449,9,25,216,0.103734,0.980349,0.947257,0.980349,0.052743,0.963519,0.678112,1.445705,0.27
144,449,9,24,217,0.099585,0.980349,0.94926,0.980349,0.05074,0.964554,0.676681,1.448762,0.271278
145,449,9,23,218,0.095436,0.980349,0.951271,0.980349,0.048729,0.965591,0.67525,1.451831,0.290752
146,449,9,22,219,0.091286,0.980349,0.953291,0.980349,0.046709,0.966631,0.67382,1.454913,0.29586
147,448,10,22,219,0.091286,0.978166,0.953191,0.978166,0.046809,0.965517,0.672389,1.454762,0.302099
148,448,10,21,220,0.087137,0.978166,0.955224,0.978166,0.044776,0.966559,0.670959,1.457864,0.309677
149,448,10,20,221,0.082988,0.978166,0.957265,0.978166,0.042735,0.967603,0.669528,1.460979,0.31
150,448,10,19,222,0.078838,0.978166,0.959315,0.978166,0.040685,0.968649,0.668097,1.464107,0.331092
151,448,10,18,223,0.074689,0.978166,0.961373,0.978166,0.038627,0.969697,0.666667,1.467249,0.332857
152,447,11,18,223,0.074689,0.975983,0.96129,0.975983,0.03871,0.968581,0.665236,1.467122,0.34
153,447,11,17,224,0.070539,0.975983,0.963362,0.975983,0.036638,0.969631,0.663805,1.470284,0.36
154,446,12,17,224,0.070539,0.973799,0.963283,0.973799,0.036717,0.968512,0.662375,1.470163,0.37253
